No;Daerah Kabupaten/Kota;Besaran Upah
1;Kota Bekasi;5999443
2;Kabupaten Karawang;5886853
3;Kabupaten Bekasi;5938885
4;Kabupaten Purwakarta;5052856
5;Kabupaten Subang;3737482
6;Kota Depok;5522662
7;Kota Bogor;5437203
8;Kabupaten Bogor;5161769
9;Kabupaten Sukabumi;3831926
10;Kabupaten Cianjur;3316191
11;Kota Sukabumi;3192807
12;Kota Bandung;4737678
13;Kota Cimahi;4090568
14;Kabupaten Bandung Barat;3984711
15;Kabupaten Sumedang;3949856
16;Kabupaten Bandung;3972202
17;Kabupaten Indramayu;2910254
18;Kota Cirebon;2878646
19;Kabupaten Cirebon;2880798
20;Kabupaten Majalengka;2595368
21;Kabupaten Kuningan;2369380
22;Kota Tasikmalaya;2980336
23;Kabupaten Tasikmalaya;2871874
24;Kabupaten Garut;2472227
25;Kabupaten Ciamis;2373644
26;Kabupaten Pangandaran;2351250
27;Kota Banjar;2361241
